State,City,Name,Language,Time,Type,Price,Capacity,Booked
AndhraPradesh,Hyderabad,PvrNextGalleriaMallPanjagutta,English,10:00,Classic,150₹,144,30
Haryana,NationalCapitalRegionNcr,GurugramPvrDirectorSCutAmbienceMall,English,11:00,Platinum,500₹,40,1
Haryana,NationalCapitalRegionNcr,GurugramPvrDirectorSCutAmbienceMall,English,11:00,PlatinumSuperior,500₹,17,2
Maharashtra,Mumbai,InoxLaserplexCr2NarimanPoint,English,11:15,Insignia,300₹,75,14
Maharashtra,Mumbai,MaisonPvrTheLoftLuxeJioWorldDriveBkc,English,12:00,Platinum,400₹,33,17
Maharashtra,Mumbai,CinepolisVipVivianaMallThane,English,13:00,Vip,400₹,74,14
Haryana,NationalCapitalRegionNcr,PvrCityCentreGurgaon,English,13:35,Classic,149₹,40,0
Haryana,NationalCapitalRegionNcr,PvrCityCentreGurgaon,English,13:35,Prime,149₹,113,19
Haryana,NationalCapitalRegionNcr,PvrCityCentreGurgaon,English,13:35,Recliner,249₹,16,0
Haryana,NationalCapitalRegionNcr,PvrCityCentreGurgaon,English,13:35,Classic,149₹,156,2
Haryana,NationalCapitalRegionNcr,PvrCityCentreGurgaon,English,13:35,Prime,149₹,134,27
Haryana,NationalCapitalRegionNcr,PvrCityCentreGurgaon,English,13:35,Recliner,249₹,20,2
Haryana,NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,English,13:40,Platinum,400₹,28,0
Haryana,NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,English,13:40,PlatinumSuperior,400₹,8,1
Karnataka,Bengaluru,Pvr4DxOrionMallDrRajkumarRoad,English,13:40,Classic,410₹,96,59
Maharashtra,Mumbai,InoxInsigniaAtAtriaMallWorli,English,13:45,Insignia,470₹,30,4
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,English,13:45,PxlLounger,110₹,11,0
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,English,13:45,PxlPrime,130₹,136,3
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,English,13:45,PxlPrimePlus,150₹,66,27
Maharashtra,Mumbai,PvrMarketCityKurlaPremiere,English,13:45,PxlRecliner,250₹,16,14
AndhraPradesh,Hyderabad,Pvr4DxForumSujanaMallKukatpallyHyderabad,English,13:45,4DxClassic,350₹,108,63
Haryana,NationalCapitalRegionNcr,PvrPromenadeVasantKunj,English,14:15,Classic,200₹,50,0
Haryana,NationalCapitalRegionNcr,PvrPromenadeVasantKunj,English,14:15,Prime,250₹,34,0
